<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTCUSD;D;20131204;000000;1051.2966000;1120.0000000;981.7588500;1079.9312200;40
BTCUSD;D;20131205;000000;1088.6227800;1110.0000000;855.7000000;1032.0523300;65
BTCUSD;D;20131206;000000;1032.0523300;1065.2270200;838.5151500;864.7819700;63
BTCUSD;D;20131207;000000;866.8911800;950.0000000;600.9614100;699.4220100;123
BTCUSD;D;20131208;000000;693.6429500;801.4565100;670.0040000;795.6125700;48
BTCUSD;D;20131209;000000;801.5338600;914.2978600;782.4323900;899.7276200;61
BTCUSD;D;20131210;000000;899.7276200;975.1100000;899.4394000;959.1111100;70
BTCUSD;D;20131211;000000;954.6427400;979.2300000;820.0000000;883.7814400;43
BTCUSD;D;20131212;000000;883.7814400;919.0778700;857.3766900;873.0000000;8
BTCUSD;D;20131213;000000;881.4786000;916.5956100;853.0700000;878.7970700;26
BTCUSD;D;20131214;000000;885.3456100;885.3456100;850.0000000;862.1744800;12
BTCUSD;D;20131215;000000;870.6966000;885.0000000;820.0000000;863.7135400;36
BTCUSD;D;20131216;000000;863.7035400;884.0000000;662.6585000;709.9337300;67
BTCUSD;D;20131217;000000;715.6590000;758.8450200;674.7371400;702.0000000;61
BTCUSD;D;20131218;000000;698.6137800;698.6137800;380.0000000;528.0000000;211
BTCUSD;D;20131219;000000;533.3138000;700.0000000;517.6214700;699.8124900;40
BTCUSD;D;20131220;000000;699.8024900;718.2161800;614.5190800;665.4462700;48
BTCUSD;D;20131221;000000;656.2447400;700.0000000;605.0000000;621.4529900;12
BTCUSD;D;20131222;000000;614.9978500;681.3802600;605.0000000;641.0361000;54
BTCUSD;D;20131223;000000;633.7184200;680.0000000;633.7184200;655.2266200;28
BTCUSD;D;20131224;000000;666.0382100;683.7417000;642.0000000;659.7930800;11
BTCUSD;D;20131225;000000;659.7930800;684.5100900;642.0000000;676.0000000;11
BTCUSD;D;20131226;000000;684.5300900;771.0000000;676.0000000;752.3359600;69
